Numéro de la tâche,Date de création de la tâche,Nom de la personne initiatrice de la tâche,Site de réalisation de la tâche,Nature de la tâche,Description de la tâche,Date de début de la tâche,Durée estimée en heure(s) ou journée(s),Nombre de personnes souhaitées,Service N°1 mandaté pour la réalisation de la tâche,Service N°2 mandaté pour la réalisation de la tâche,Service N°3 mandaté pour la réalisation de la tâche
T_P409,44806,Evelyne Tacniere,CPAS,Entretien général,Monter papier dans le bureau de Ghizlane,44806,,1,Vincent,,
T_P411,44806,Evelyne Tacniere,ILA,Entretien général,Aller chercher colis au Forem et déposer aux logements Rue de Patûrages 34/1,44806,,1,Vincent,,
T_P410,44806,Evelyne Tacniere,CPAS,Entretien général,Descendre la commande de papier qui se trouve à l'accueil dans la cave ,44806,,1,Vincent,,
T_P415,44810,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 34 - verrou porte arrière cassé,44810,,1,Vincent,,
T_P416,44811,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 6 - changer le joint de la chaudière,44811,,1,Vincent,,
T_P419,44812,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 33 - chasse qui coule + voir robinet. Monsieur demande de prévenir pour être sûre qu'il soit bien présent. Bolome Luc 0494/46 50 30 (fils),44812,,1,Vincent,,
T_P424,44817,Evelyne Tacniere,CPAS,Entretien général,Bureau Sophie - réparer néon ,44817,,1,Vincent,,
T_P423,44817,Evelyne Tacniere,CPAS,Entretien général,Bureau GRH - Interupteur lampe cassée ,44817,,1,Vincent,,
T_P425,44819,Evelyne Tacniere,CPAS,Entretien général,Wc près du réfèctoire - changer ampoule,44819,,1,Vincent,,
T_P429,44823,Evelyne Tacniere,ILA,Entretien général,Rue Charles Dupuis 114/3 - réparer la porte du meuble de la cuisine,44823,,1,Vincent,,
T_P427,44823,Evelyne Tacniere,Magasin,Entretien général,Voir Alexandre (enlever végétation au magasin sociale),44823,1,1,Vincent,,
T_P428,44823,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 3 - Problème taque élèctrique ,44823,,1,Vincent,,
T_P430,44825,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 17 - Problème serrure porte d'entrée (tourne qu'une seule fois),44825,,1,Vincent,,
T_P432,44826,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 13 - robinet cuisine qui coule ,44826,,1,Vincent,,
T_P434,44832,Evelyne Tacniere,Roseraie,Entretien général,Chemin du Bon Dieu 28 - problème chaudière,44832,,1,Vincent,,
T_P438,44837,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 31 - couper haie devant la baie vitrée ,44837,,1,Vincent,,
T_P437,44837,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 22 - chasse qui coule ,44837,,1,Vincent,,
T_P442,44840,Evelyne Tacniere,CPAS,Entretien général,Bureau Ghizlane - aide pour réaménagement du bureau ,44840,,1,Vincent,,
T_P446,44852,Evelyne Tacniere,CPAS,Entretien général,Bureau Soukaina - replacer les câbles ,44852,,1,Vincent,,
T_P447,44858,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 17 - lampe salle de bain,44858,,1,Vincent,,
T_P450,44862,Evelyne Tacniere,ILA,Entretien général,Rue Charles Dupuis 114/4 - fixer planche afin d'éviter l'accès au cablage dangereux + faire les tâches qui ont été décrites lors de l'état des lieux  +                                                   Au 1er palier - jeter les 2 ventilateurs cassés.,44862,,1,Vincent,,
T_P449,44862,Evelyne Tacniere,ILA,Entretien général,Rue de Patûrages 34/1 et 34/2 - prendre les 2 hottes ainsi que les 2 machines à laver et les stocker à l'ADV +                Au 34/2 - monter meuble.,44862,,1,Vincent,,
T_P454,44872,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 7 - problème chaudière + refaire dalles terasse arrière,44872,,1,Vincent,,
T_P457,44874,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 29 - réparer porte évier ,44874,,1,Vincent,,
T_P462,44881,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 22 - purger radiateurs + montrer comment fonctionne nouvelle chaudière ,44881,,1,Vincent,,
T_P461,44881,Evelyne Tacniere,Roseraie,Entretien général,Pour Roseraie 23 - aller chez VOO Cora pour la prise de raccordement internet,44881,,1,Vincent,,
T_P464,44886,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 22 - chauffage en panne,44886,,1,Vincent,,
T_P465,44886,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 27 - réparer sonnette,44886,,1,Vincent,,
T_P469,44889,Evelyne Tacniere,Roseraie,Entretien général,Chemin du Bon Dieu 18 - évier bouché ,44889,,1,Vincent,,
T_P471,44894,Evelyne Tacniere,CPAS,Entretien général,Changer ampoule WC femme 1èr étage ,44894,,1,Vincent,,
T_P476,44900,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 22 - humidité toilette,44900,,1,Vincent,,
T_P479,44907,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 39 - problème thermostat,44907,,1,Vincent,,
T_P500,44925,Evelyne Tacniere,CPAS,Entretien général,Pour le 13 janvier 2023 en matinée - entretient alarme (ALSEC),44925,,1,Vincent,,
T_P499,44925,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 2 - réparer serrure arrière,44925,,1,Vincent,,
T_P503,44930,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 37 - tuiles à remplacer + Goutières à fixer,44930,,1,Vincent,,
T_P504,44930,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 35 - Goutières à fixer,44930,,,Vincent,,
T_P506,44936,Evelyne Tacniere,Roseraie,Entretien général,Taille des haies par la Renouée - Dates de prestations : 08/06/2023 - 28/09/2023,44936,,1,Vincent,,
T_P505,44936,Evelyne Tacniere,Roseraie,Entretien général,Tonte de la pelouse par la Renouée - Dates de prestations : 14/04/2023 - 28/04/2023 - 12/05/2023 - 26/05/2023 - 09/06/2023 - 23/06/2023 - 07/07/2023 - 19/07/2023 - 18/08/2023 - 01/09/2023 - 15/09/2023 - 29/09/2023,44936,,1,Vincent,,
T_P508,44936,Evelyne Tacniere,Roseraie,Entretien général,Chantier Roseraie avec Renouée (être présent pour suivi) - Date de prestation : 08/03/2023,44936,,1,Vincent,,
T_P510,44936,Evelyne Tacniere,CPAS,Entretien général,Entretient détèction incendie le 17/01/2023 à 8h00,44936,,1,Vincent,,
T_P507,44936,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 19 - Fuite robinet salle de bain et cuisine,44936,,1,Vincent,,
T_P509,44936,Evelyne Tacniere,CPAS,Entretien général,Monter papier A4 dans le bureau de Ghizlane,44936,,1,Vincent,,
T_P511,44937,Evelyne Tacniere,Roseraie,Entretien général,RDV installation défibrillateur - le 18/01/2023 entre 14h40 et 16h10,44937,,1,Vincent,,
T_P513,44938,Evelyne Tacniere,CPAS,Entretien général,Superviser entreprise SBMI - le 06/02/2023 à partir de 7h00,44938,,1,Vincent,,
T_P514,44943,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 22 - ajouter eau chaudière,44943,,1,Vincent,,
T_P515,44943,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 16 - WC qui coule + 1 carrelage cassé,44943,,1,Vincent,,
T_P516,44945,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 3 - évacuation machine à laver bouchée,44945,,1,Vincent,,
T_P517,44945,Evelyne Tacniere,Roseraie,Entretien général,Chemin du Bon Dieu 28 - Voir chaudière,44945,,1,Vincent,,
T_P528,44963,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 32 - voir lampe de la chambre,44963,,1,Vincent,,
T_P529,44963,Evelyne Tacniere,Roseraie,Entretien général,Chemin du Bon Dieu 14 - le robinet de la salle de bain coule + poser silicone douche ,44963,,1,Vincent,,
T_P531,44964,Evelyne Tacniere,CPAS,Entretien général,évier de la cuisine bouchée ,44964,,1,Vincent,,
T_P537,44970,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 24 - Problème chaudière,44970,,1,Vincent,,
T_P542,44972,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 9 - Robinet cuisine qui coule et planche WC fissurée,44972,,1,Vincent,,
T_P545,44973,Evelyne Tacniere,CPAS,Entretien général,Bureau Président - fixer cadre,44973,,1,Vincent,,
T_P544,44973,Evelyne Tacniere,CPAS,Entretien général,Bureau Président - fixer cadre,44973,,1,Ouvriers_ADV,,
T_P549,44980,Evelyne Tacniere,CPAS,Réunions ,Le 14/03/2023 à 8h30 avec Hélène et Michel - sujet : Roseraie,44980,,1,Vincent,,
T_P550,44980,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 21 - plus de lumière dans la cuisine,44980,,1,Vincent,,
T_P553,44986,Evelyne Tacniere,ILA,Entretien général,Vendredi 03/03/2023 à 9h00 - Aller à la gare de Quaregnon prendre les valises d'une nouvelle famille,44986,,1,Vincent,,
T_P554,44986,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 21 - Voir problème lampe cuisine,44986,,1,Vincent,,
T_P555,44987,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 20 - évier bouché,44987,,1,Vincent,,
T_P557,44991,Evelyne Tacniere,Roseraie,Entretien général,Chercher panneaux à la commune pour ne pas stationner à la rue Anseele le 08/03 et 09/03,44991,,1,Vincent,,
T_P559,44991,Evelyne Tacniere,Roseraie,Entretien général,Chemin du Bon Dieu 22 - voir chaudière,44991,,1,Vincent,,
T_P560,44999,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 6 - régler la température de la chaudière,44999,,1,Vincent,,
T_P563,44999,Evelyne Tacniere,ILA,Entretien général,Retrait marchandises IKEA - Le 16/03/2023 à 10h00,44999,,1,Vincent,,
T_P564,45001,Evelyne Tacniere,CPAS,Entretien général,Chemin du Bon Dieu 22 - Changer l'ampoule de la salle de bain ,45001,,1,Vincent,,
T_P565,45002,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 31 - Chassis avant ne s'ouvre plus ,45002,,1,Vincent,,
T_P566,45002,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 41 - Problème avec la serrure de la porte avant,45002,,1,Vincent,,
T_P569,45007,Evelyne Tacniere,CPAS,Entretien général,Voir si il reste des étagères métalique pour Inès,45007,,1,Vincent,,
T_P571,45009,Evelyne Tacniere,Roseraie,Entretien général,chemin du Bon Dieu 22 - lampe de la salle de bain à changer,45009,,1,Vincent,,
T_P575,45014,Evelyne Tacniere,ILA,Menuiserie,IKEA vendredi 31/03/2023 vers 10h00 - chercher armoire,45014,,1,Vincent,,
T_P577,45016,Evelyne Tacniere,CPAS,Chauffage,Bureau Inès - vérifier radiateur car ils chauffent trop,45016,,1,Vincent,,
T_P578,45019,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 31 - Voir lampe extèrieure,45019,,1,Vincent,,
T_P582,45021,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 27 - Problème de robinet cuisine,45021,,1,Ouvriers_ADV,,
T_P580,45021,Evelyne Tacniere,ILA,Entretien général,"Rue Charles Dupuis 114  - Jeter encombrant + couverture hall d'entrée. 
114/2 - Jeter la caisse qui se trouve devant,",45021,,1,Vincent,,
T_P585,45023,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 17 - Problème chauffage,45023,,1,Vincent,,
T_P587,45027,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 39 - changer ampoule wc,45027,,1,Vincent,,
T_P592,45033,Evelyne Tacniere,CPAS,Electricité,Installer prise électrique dans le sas accueil du CPAS - voir avec Hélène Courcelles pour les modalités ,45033,,2,Ouvriers_ADV,,
T_P591,45033,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 7 - lavabo qui coule et carrelage cassé,45033,,1,Vincent,,
T_P594,45034,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 19 - le détecteur de fumée s'est déclanché pendant la nuit,45034,,1,Vincent,,
T_P593,45034,Evelyne Tacniere,CPAS,Menuiserie,Allez chercher le materiel pour Inès chez Sébastien (voir Inès pour bon de commande et devis),45034,,1,Vincent,,
T_P596,45040,Evelyne Tacniere,CPAS,Entretien général,Le 03/05/2023 après-midi - Intervention Alsec,45040,,1,Vincent,,
T_P597,45042,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 19 - Cuisinière ne fonctionne plus,45042,,1,Vincent,,
T_P604,45062,Evelyne Tacniere,CPAS,Entretien général,le 24/05/2023 entre 8h00 et 9h45 livraison armoire  - Monter dans le bureau de Jade,45062,,1,Vincent,,
T_P606,45062,Evelyne Tacniere,CPAS,Entretien général,lundi 22/05 allez chercher 6 ballots de foin chez Hendricks pour ines ,45062,,1,Vincent,,
T_P607,45068,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 39 - Revisser porte d'entée,45068,,1,Vincent,,
T_P608,45069,Evelyne Tacniere,Roseraie,Entretien général,Chemin du B. D. 16 - Madame demande de refaire les dalles devant la porte d'entrée car elles bougent ,45069,,1,Vincent,,
T_P610,45070,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 21 - évier bouché et voir chassis,45070,,1,Vincent,,
T_P611,45071,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 39 - clignotant chaudière (plus d'eau chaude ni chauffage),45071,,1,Vincent,,
T_P613,45072,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 21 - changer mitigeur cuisine,45072,,1,Vincent,,
T_P615,45076,Evelyne Tacniere,Roseraie,Entretien général,Chemin du B. D. 26 - Problème robinet douche,45076,,1,Vincent,,
T_P614,45076,Evelyne Tacniere,Roseraie,Entretien général,Chemin du . D. 14 - Fuite toilette,45076,,1,Vincent,,
T_P617,45076,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 14 - Problème clinche fenêtre chambre,45076,,1,Vincent,,
T_P619,45079,Evelyne Tacniere,Roseraie,Entretien général,"Roseraie 35 - carrelage cuisine. 
Une vingtaine à recoller. ",45079,,1,Vincent,,
T_P622,45089,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 31 - tailler haie,45089,,1,Vincent,,
T_P623,45089,Evelyne Tacniere,Roseraie,Entretien général,"Chemin du B, D, 18 - évier bouché",45089,,1,Vincent,,
T_P624,45090,Evelyne Tacniere,Roseraie,Entretien général,Chemin du B D 16 - Bois de la porte d'entrée décollé,45090,,1,Vincent,,
T_P629,45096,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 14 - Problème taque ,45096,,1,Vincent,,
T_P630,45096,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 31 - Plus d'électricité,45096,,1,Vincent,,
T_P631,45097,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 3 - Tailler haie,45097,,1,Vincent,,
T_P634,45099,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 5 - Egout bouché,45099,,1,Vincent,,
T_P638,45105,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 14 - Jeter parasol cassé,45105,,1,Vincent,,
T_P640,45106,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 19 - Voir robinet (eau),45106,,1,Vincent,,
T_P642,45107,Evelyne Tacniere,ILA,Entretien général,Le 30/06/2023 - Déménagement de Mme Villani,45107,,1,Vincent,,
T_P645,45107,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 20 - Robinet qui coule,45107,,1,Vincent,,
T_P644,45107,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 20 - Problème de chaudière,45107,,1,Vincent,,
T_P646,45107,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 25 - Robinet qui coule,45107,,1,Vincent,,
T_P647,45110,Evelyne Tacniere,CPAS,Entretien général,Aller chercher les filtres hotte de chez Brunelle à l'Arbre de Vie (bureau Raphaël et Virginie),45110,,1,Vincent,,
T_P648,45110,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 26 - voir si fuite à la chaudière,45110,,1,Vincent,,
T_P650,45112,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 39 - plus d'eau chaude,45112,,1,Vincent,,
T_P653,45138,Evelyne Tacniere,Roseraie,Entretien général,Chemin du B D 14 - changer ampoule WC,45138,,1,Vincent,,
T_P655,45139,Evelyne Tacniere,Roseraie,Entretien général,"Roseraie 16 - Remplacer mitigeur, barre douche et refaire joints carrelages",45139,,1,Vincent,,
T_P657,45146,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 32 - detecteur de fumée qui sonne,45146,,1,Vincent,,
T_P658,45146,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 34 - changer planche wc,45146,,1,Vincent,,
T_P660,45147,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 16 - changer paume douche,45147,,1,Vincent,,
T_P662,45148,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 39 - diminuer chauffage,45148,,1,Vincent,,
T_P665,45152,Evelyne Tacniere,Roseraie,Entretien général,CBD 22 - Remplacement barillet porte jardin,45152,,1,Vincent,,
T_P664,45152,Evelyne Tacniere,Roseraie,Entretien général,barrilet porte d'entrée arrière (jardin) à changer,45152,,1,Vincent,,
T_P669,45163,Evelyne Tacniere,Roseraie,Electricité,Roseraie 31 - Taque de cuisson - conteur électrique ,45163,,1,Vincent,,
T_P671,45168,Evelyne Tacniere,Roseraie,Chauffage,Roseraie 39 - Panne de chauffage,45168,,1,Ouvriers_ADV,,
T_P672,45174,Evelyne Tacniere,Roseraie,Entretien général,Roserai 30 - Problème évacuation eau évier cuisine,45174,1,1,Ouvriers_ADV,,
T_P674,45175,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 33 - la taque ne fonctionne plus,45175,,1,Ouvriers_ADV,,
T_P675,45176,Evelyne Tacniere,Roseraie,Entretien général,CBD 18 - Evacuation évier cuisine,45176,1,1,Ouvriers_ADV,,
T_P676,45176,Evelyne Tacniere,Roseraie,Entretien général,Roserai 27 - Dépanner sonnette qui sonne tout le temps),45176,,1,Vincent,,
T_P677,45177,Evelyne Tacniere,ILA,Entretien général,accueillir et surveiller le chantier de SBA Chauffage (1147 Rue charles Dupuis) le 13/09 dans la matinée - intervention sur les radiateurs - contact : monsieur MEURISSE 0473/29.90.84,45177,,,Vincent,,
T_P696,45202,Evelyne Tacniere,Roseraie,Jardin / extérieur,CBD 24 - Branche Rosier à couper ,45202,1,1,Vincent,,
T_P703,45210,Evelyne Tacniere,Roseraie,Chauffage,Roseraie 9 -la chaudière s'est déclenchée et radiateur allumé alors que 21 degrée ,45210,1,1,Vincent,,
T_P707,45218,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 17 - lampe hall à changer,45218,1,1,Vincent,,
T_P709,45219,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 39 - lampe devant à remplacer ,45219,1,1,Vincent,,
T_P716,45237,Evelyne Tacniere,Roseraie,Plomberie,Roseraie 30 - Evier bouché dans la cuisine (0495 65 44 36) ,45237,1,1,Vincent,,
T_P717,45238,Evelyne Tacniere,Roseraie,Plomberie,Roseraie 31 - robinet eau chaude douche coincé (0486 04 82 84) ,45238,1,1,Vincent,,
T_P720,45246,Evelyne Tacniere,CPAS,Entretien général,Toilette homme 2ème étage à réparer,45246,1,1,Vincent,,
T_P719,45246,Evelyne Tacniere,Roseraie,Electricité,"Roseraie 19 - lumière de la buanderie qui clignote
0495 21 44 16 ",45246,1,1,Vincent,,
T_P724,45257,Evelyne Tacniere,Roseraie,Electricité,"Roseraie 6 - sonnette ne fonctionne pas 065/80 01 80
M. Doyen est absent ce 27/11/2023 après midi ",45257,1,1,Ouvriers_ADV,,
T_P723,45257,Evelyne Tacniere,Roseraie,Electricité,"Roseraie 8 - plus d'électricité dans le logement 
0474/98 96 90 ",45257,1,1,Vincent,,
T_P725,45258,Evelyne Tacniere,Roseraie,Electricité,Ch du Bon Dieu 18 - lampe salle de bain en fonctionne plus 0471/87 77 39 ,45258,1,1,Ouvriers_ADV,,
T_P733,45268,Evelyne Tacniere,Roseraie,Electricité,"Roseraie 37 - four ne fonctionne pas 
065 82 43 26 - 0485/278 985 ",45268,1,1,Ouvriers_ADV,,
T_P734,45272,Evelyne Tacniere,Roseraie,Jardin / extérieur,Roseraie 34 - frigo à enlever - 0494/32 96 71 ,45272,1,1,Vincent,,
T_P735,45273,Evelyne Tacniere,CPAS,Entretien général,Remonter des rames de feuille ,45273,1,1,Ouvriers_ADV,,
T_P740,45296,Evelyne Tacniere,Roseraie,Jardin / extérieur,Roseraie 14 - Madame n'arrive plus à ouvrir la boite aux lettres avec sa clé ,45296,1,1,Vincent,,
T_P744,45300,Evelyne Tacniere,Roseraie,Menuiserie,Roseraie 16 - clinche de la porte du cagibi cassée ,45300,1,1,Vincent,,
T_P743,45300,Evelyne Tacniere,Roseraie,Chauffage,Roseraie 1 - le chauffage ne fonctionne pas bien ,45300,1,1,Vincent,,
T_P749,45313,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 17 - porte entre le hall et le living bloquée - 0477/48 14 03 ,45313,1,1,Vincent,,
T_P752,45316,Evelyne Tacniere,Roseraie,Plomberie,Roseraie 39 - fuite dans le wc (voir chasse) - 065/78 75 46 ,45316,1,1,Vincent,,
T_P754,45317,Evelyne Tacniere,Roseraie,Entretien général,"Chemin du Bon Dieu 18 - ardoise tombé du toit, détecteur de fumée à vérifier",45317,1,1,Vincent,,
T_P758,45320,Evelyne Tacniere,Roseraie,Plomberie,Roseraie 4 - vanne du radiateur de la chambre qui coule - 0474/011 434 ,45320,1,1,Vincent,,
T_P762,45321,Evelyne Tacniere,Roseraie,Entretien général,"Roseraie 28 - frigo à enlever, poignées d'armoires et fuite chaufferie",45321,1,2,Vincent,,
T_P778,45342,Evelyne Tacniere,Roseraie,Sanitaire,Ch. du Bon Dieu 18 pas d'eau chaude 0471/87 77 39,45342,1,1,Vincent,,
T_P002,44236,Helene Courcelles,Roseraie,Sanitaire,"Roseraie 17: WC, humidité plafond",44236,,,Vincent,,
T_P001,44236,Helene Courcelles,CPAS,Menuiserie,"Bureaux 1er étage: Petite commune, infiltration d'eau niveaux des fenêtres",44236,,1,Vincent,,
T_P017,44252,Helene Courcelles,Roseraie,Electricité,Roseraie 13 - tube néon de cuisine à remplacer ,44253,,,Vincent,,
T_P026,44264,Helene Courcelles,Roseraie,Jardin / extérieur,Roseraie 31 - Prolonger la terrasse (3 fois 8 dalles),44264,1j,2,Ouvriers_ADV,,
T_P052,44308,Helene Courcelles,CPAS,Réunions ,amener l'écran de projection qui est dans le bureau de Véronique à l'ADV dans son bureau à la rue Destrée avant le 30 avril,44308,1h,1,Vincent,,
T_P058,44313,Helene Courcelles,CPAS,Entretien général,apporter l'écran de projection à l'espace Léon Delvallée vendredi matin,44316,1h,1,Vincent,,
T_P073,44323,Helene Courcelles,CPAS,Entretien général,mettre un plexi entre le bureau de jade et celui de Laora,44323,,,Vincent,,
T_P072,44323,Helene Courcelles,CPAS,Entretien général,évacuer la chaise de bureau à jeter dans le couloir du premier ,44323,,,Vincent,,
T_P077,44326,Helene Courcelles,Roseraie,Chauffage,"domaine de la roseraie N°16, nous devons demander que Bouvé intervienne, car il y a une panne que seul eux sont en mesure de faire (Michel s'en charge)",44326,,,Ouvriers_ADV,,
T_P074,44323,Helene Courcelles,cpas,Entretien général,ramener le rouleau de nappe qui est dans mon bureau au service animation de l'ADV. ,44327,,,Vincent,,
T_P101,44372,Helene Courcelles,CPAS,Entretien général,"certains travailleurs rencontrent des difficultés avec la serrure côté ""personnel"". Possible de vérifier ? ",44372,,,Vincent,,
T_P128,44396,Helene Courcelles,CPAS,Electricité,prévoir un cable réseau qui part de la prise 1-01 (bureau de marie-anne) et qui descend vers le VASARELI en passant par le plafond. Me prévenir quand c'est ok. ,44396,,,Ouvriers_ADV,,
T_P127,44396,Helene Courcelles,Roseraie,Chauffage,Roseraie 11 - problème de thermostat - radiateur qui coule,44396,,,Vincent,,
T_P134,44433,Helene Courcelles,CPAS,Electricité,remplacer le néon dans le bureau de Christophe,44433,,,Ouvriers_ADV,,
T_P150,44455,Helene Courcelles,CPAS,Entretien général,"renover le réfectoire pour le convertir en bureau (peinture, cablage, mobilier) - à voir ensemble",44455,,,Ouvriers_ADV,,
T_P149,44455,Helene Courcelles,Roseraie,Entretien général,Roseraie 8 - serrure défectueuse - y aller le 17/09 dans la matinée. ,44455,,,Vincent,,
T_P151,44455,Helene Courcelles,CPAS,Entretien général,"nettoyer les caves, monter des armoires supplémentaires, jeter le sac poubelle avec les combinaisons et les vêtements.",44455,,,Vincent,,
T_P162,44470,Helene Courcelles,CPAS,Electricité,Entretien annuel de la détection d'incendie Administration et CPAS - 3982 a,44470,,1,Vincent,,
T_P168,44476,Helene Courcelles,CPAS,Entretien général,rapatrier le matériel informatique qui est dans la salle de réunion de la maison de repos dans le réfectoire du CPAS et descendre le matériel du 2ème étage dans le réfectoire pour le 14/10 au plus tard. Me voir si détail,44476,,,Vincent,,
T_P172,44481,Helene Courcelles,Roseraie,Plomberie,Roseraie 28 - siphon coule,44481,,,Vincent,,
T_P179,44487,Helene Courcelles,CPAS,Electricité,suite contrôle VLV - installation d'un détecteur incendie dans le bureau qui a été cloisonné et raccordement à la centrale,44487,,,Ouvriers_ADV,,
T_P180,44487,Helene Courcelles,CPAS,Electricité,suite contrôle VLV - raccordement des chaudières à la centrale incendie + revoir l'installation de la conciergerie (me contacter si possible),44487,,,Ouvriers_ADV,,
T_P203,44504,Helene Courcelles,CPAS,Entretien général,la clef du bureau de marie-anne ne fonctionne pas (coince quand la porte est fermée). Voir s'il faut la limer un peu ou en faire une nouvelle. Elle est chez Evelyne. ,44504,,,Ouvriers_ADV,,
T_P204,44505,Helene Courcelles,CPAS,Entretien général,faire un inventaire des blocs de secours pour établissement du registre,44505,,,Vincent,,
T_P232,44538,Helene Courcelles,CPAS,Entretien général,installer une étagère de la cave dans le local informatique et descendre les caisses de matériel qui sont dans mon bureau dans le local informatique. Vérifier que Vincent a bien un double de la clef. Me prévenir quand c'est ok ou me contacter pour plus de détail. ,44538,,,Vincent,,
T_P244,44557,Helene Courcelles,Roseraie,Plomberie,BD 18 - WC coule,44557,,,Ouvriers_ADV,,
T_P243,44557,Helene Courcelles,Roseraie,Entretien général,Roseraie 2 - déboucher les évacuations d'eaux pluviales,44557,,,Vincent,,
T_P266,44581,Helene Courcelles,CPAS,Electricité,installer une prise réseau supplémentaire dans le bureau de Lorena. La connecter au patch du local informatique. M'informer quand c'est ok. ,44581,,1,Ouvriers_ADV,,
T_P286,44609,Helene Courcelles,CPAS,Entretien général,placer un plexi entre le bureau de sybille et éloise,44609,,,Vincent,,
T_P285,44609,Helene Courcelles,cpas,Entretien général,monter deux étagères. En mettre une dans le local informatique (à la place des tables) et une dans le bureau de Steve,44609,,,Vincent,,
T_P287,44610,Helene Courcelles,Roseraie,Entretien général,Roseraie 19 - plus d'eau chaude ,44610,,,Vincent,,
T_P288,44624,Helene Courcelles,CPAS,Entretien général,WC  : 2ième étage: voir serrure porte WC femme cassée ne se ferme pas ,44624,1,1,Ouvriers_ADV,,
T_P289,44627,Helene Courcelles,Roseraie,Entretien général,Chemin du bon dieu 22 hotte en panne et placement de deux barres de rideaux ,44627,1,1,Ouvriers_ADV,,
T_P291,44627,Helene Courcelles,Roseraie,Entretien général,Roseraie  - Lumière prêt du grillage à remettre ,44627,1,1,Vincent,,
T_P293,44630,Helene Courcelles,CPAS,Entretien général,Bureau président - Placement des anciens stores de la DG,44630,1,1,Vincent,,
T_P294,44630,Helene Courcelles,CPAS,Entretien général,CPAS - 2ème étage  - WC femme -  Serrure porte  cassée ne se ferme pas ,44630,1,1,Vincent,,
T_P296,44635,Helene Courcelles,Roseraie,Entretien général,Roseraie 23 - Problèem tuyauterie cuisine,44635,1,1,Vincent,,
T_P295,44635,Helene Courcelles,Roseraie,Entretien général,chemin bon dieu 14 - Néeon salle de bain et buanderie et entrée à remplacer ,44635,1,1,Vincent,,
